wrapper_path,expected_module,result,traceback,recommendation,reason
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_fit.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_block_file.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_shape_file.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_pdf_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_store_file.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_tk_util.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_tk_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_mem_cache.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_draw_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_store_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_gl_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/memops/global/py_ps_handler.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/other/cambridge/bayes/py_bayes.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/other/meccano/pysrc/py_meccano.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_struct_util.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_atom.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
/Users/georgeelkins/nmr/ccpnmr2.4/ccpnmr2.4/c/ccp/structure/py_bond.py,,OK,,None,Imported successfully (OK) — likely via repo-level stub or converted implementation.
